window_id,label,N_subject,N_fileobject,N_netflow,N_total,E_total,path,skipped,reason
benign_000203,0,4853,16517,636,22006,37806,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000203.pt,False,
benign_000822,0,11440,6683,91,18214,37666,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000822.pt,False,
benign_000218,0,2257,26957,205,29419,37664,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000218.pt,False,
benign_000695,0,3666,16260,675,20601,37414,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000695.pt,False,
benign_000599,0,4333,20867,1621,26821,37387,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000599.pt,False,
benign_000722,0,3496,16963,1636,22095,37266,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000722.pt,False,
benign_000421,0,8172,11824,149,20145,37095,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000421.pt,False,
benign_000107,0,4466,21246,746,26458,36637,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000107.pt,False,
benign_000295,0,3301,15776,116,19193,36608,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000295.pt,False,
benign_000499,0,8573,8706,152,17431,36247,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000499.pt,False,
benign_000115,0,8059,14146,420,22625,36224,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000115.pt,False,
benign_000434,0,4417,22037,119,26573,36106,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000434.pt,False,
benign_000713,0,5295,15301,432,21028,35853,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000713.pt,False,
benign_000049,0,3837,24908,222,28967,35735,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000049.pt,False,
benign_000329,0,6221,15269,653,22143,35637,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000329.pt,False,
benign_000026,0,7735,15319,561,23615,35473,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000026.pt,False,
benign_000774,0,5045,14822,386,20253,35140,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000774.pt,False,
benign_000027,0,4116,19186,440,23742,34998,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000027.pt,False,
benign_000261,0,5104,14403,122,19629,34993,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000261.pt,False,
benign_000318,0,5462,15347,366,21175,34772,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000318.pt,False,
benign_000207,0,5188,14955,256,20399,34465,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000207.pt,False,
benign_000591,0,3361,21376,492,25229,34276,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000591.pt,False,
benign_000646,0,3697,21727,219,25643,34268,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000646.pt,False,
benign_000803,0,4118,18766,1266,24150,34102,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000803.pt,False,
benign_000600,0,3520,16237,817,20574,34021,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000600.pt,False,
benign_000728,0,1984,18306,134,20424,34017,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000728.pt,False,
benign_000337,0,7151,9618,180,16949,34012,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000337.pt,False,
benign_000037,0,5165,23161,383,28709,33975,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000037.pt,False,
benign_000034,0,4518,16237,269,21024,33900,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000034.pt,False,
benign_000589,0,3246,17149,338,20733,33859,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000589.pt,False,
benign_000246,0,2530,23141,124,25795,33806,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000246.pt,False,
benign_000661,0,7403,10870,809,19082,33766,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000661.pt,False,
benign_000125,0,2731,16254,173,19158,33674,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000125.pt,False,
benign_000959,0,10746,6129,134,17009,33568,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000959.pt,False,
benign_000740,0,4436,16169,104,20709,33512,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000740.pt,False,
benign_000423,0,3238,19393,130,22761,33332,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000423.pt,False,
benign_000402,0,6988,8706,486,16180,33237,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000402.pt,False,
benign_000217,0,3819,15437,168,19424,33132,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000217.pt,False,
benign_000775,0,2714,13928,191,16833,33079,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000775.pt,False,
benign_000718,0,5661,12302,191,18154,33071,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000718.pt,False,
benign_000710,0,5835,12499,366,18700,33055,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000710.pt,False,
benign_000681,0,2843,15172,807,18822,32966,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000681.pt,False,
benign_000057,0,2942,22954,227,26123,32869,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000057.pt,False,
benign_000671,0,7114,11499,272,18885,32759,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000671.pt,False,
benign_000111,0,4354,16432,1282,22068,32675,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000111.pt,False,
benign_000704,0,5232,13469,205,18906,32639,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000704.pt,False,
benign_000416,0,8005,10323,247,18575,32627,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000416.pt,False,
benign_000294,0,3909,12798,139,16846,32619,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000294.pt,False,
benign_000627,0,4797,22622,674,28093,32615,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000627.pt,False,
benign_000209,0,5651,12778,392,18821,32453,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000209.pt,False,
benign_000693,0,5054,12325,212,17591,32258,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000693.pt,False,
benign_000813,0,4038,12865,178,17081,32183,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000813.pt,False,
benign_000093,0,4053,16049,763,20865,32151,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000093.pt,False,
benign_000886,0,9793,6576,93,16462,32129,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000886.pt,False,
benign_000777,0,2787,11303,183,14273,32100,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000777.pt,False,
benign_000960,0,2517,18397,70,20984,32094,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000960.pt,False,
benign_000248,0,5842,12772,153,18767,32056,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000248.pt,False,
benign_000648,0,3610,14192,165,17967,32013,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000648.pt,False,
benign_000588,0,2392,15464,303,18159,31938,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000588.pt,False,
benign_000611,0,3148,22921,219,26288,31407,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000611.pt,False,
benign_000595,0,2740,19884,453,23077,31307,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000595.pt,False,
benign_000732,0,4353,15501,109,19963,31252,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000732.pt,False,
benign_000189,0,5171,15437,230,20838,31197,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000189.pt,False,
benign_000333,0,4611,13566,613,18790,31177,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000333.pt,False,
benign_000411,0,2881,18760,271,21912,31150,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000411.pt,False,
benign_000609,0,3378,12379,464,16221,31026,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000609.pt,False,
benign_000624,0,7135,9466,366,16967,30969,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000624.pt,False,
benign_000779,0,4665,10630,639,15934,30894,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000779.pt,False,
benign_000235,0,5741,11840,203,17784,30887,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000235.pt,False,
benign_000764,0,3058,16913,165,20136,30885,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000764.pt,False,
benign_000053,0,3155,23272,214,26641,30848,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000053.pt,False,
benign_000769,0,2611,11555,259,14425,30635,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000769.pt,False,
benign_000766,0,6062,9658,147,15867,30583,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000766.pt,False,
benign_000748,0,2622,17513,96,20231,30398,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000748.pt,False,
benign_000597,0,6807,12097,673,19577,30330,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000597.pt,False,
benign_000690,0,3323,11006,687,15016,30316,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000690.pt,False,
benign_000754,0,6194,9188,113,15495,30144,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000754.pt,False,
benign_000200,0,5501,13278,232,19011,30127,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000200.pt,False,
benign_000233,0,3294,15393,268,18955,29577,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000233.pt,False,
benign_000741,0,2159,12663,264,15086,29553,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000741.pt,False,
benign_000811,0,1548,20247,102,21897,29536,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000811.pt,False,
benign_000912,0,7676,6620,154,14450,29361,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000912.pt,False,
benign_000289,0,3153,12612,114,15879,29319,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000289.pt,False,
benign_000378,0,8118,8066,126,16310,29315,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000378.pt,False,
benign_000596,0,5840,12168,187,18195,29267,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000596.pt,False,
benign_000702,0,4754,12191,236,17181,29178,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000702.pt,False,
benign_000799,0,2512,16794,474,19780,29165,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000799.pt,False,
benign_000045,0,3753,19957,338,24048,29138,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000045.pt,False,
benign_000630,0,5446,10272,625,16343,29056,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000630.pt,False,
benign_000643,0,3064,14838,122,18024,29055,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000643.pt,False,
benign_000929,0,2918,10817,52,13787,28906,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000929.pt,False,
benign_000430,0,3386,19016,302,22704,28721,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000430.pt,False,
benign_000029,0,3498,23095,462,27055,28571,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000029.pt,False,
benign_000701,0,5356,9355,227,14938,28429,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000701.pt,False,
benign_000322,0,6308,10660,507,17475,28245,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000322.pt,False,
benign_000729,0,4270,10970,134,15374,28191,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000729.pt,False,
benign_000486,0,5100,10349,542,15991,28128,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000486.pt,False,
benign_000490,0,3452,10558,258,14268,28075,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000490.pt,False,
benign_000039,0,3975,14518,390,18883,28033,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000039.pt,False,
benign_000108,0,3138,16118,319,19575,28021,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000108.pt,False,
benign_000715,0,2708,13367,229,16304,27932,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000715.pt,False,
benign_000388,0,5324,10869,736,16929,27877,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000388.pt,False,
benign_000982,0,2228,11544,71,13843,27847,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000982.pt,False,
benign_000583,0,2642,17090,175,19907,27698,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000583.pt,False,
benign_000031,0,3909,13984,395,18288,27593,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000031.pt,False,
benign_000895,0,3754,9687,103,13544,27571,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000895.pt,False,
benign_000670,0,4574,10799,253,15626,27564,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000670.pt,False,
benign_000655,0,2987,11996,174,15157,27530,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000655.pt,False,
benign_000009,0,3992,25518,394,29904,27484,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000009.pt,False,
benign_000498,0,3926,11331,161,15418,27446,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000498.pt,False,
benign_000694,0,2361,13076,667,16104,27436,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000694.pt,False,
benign_000721,0,3332,11259,212,14803,27296,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000721.pt,False,
benign_000241,0,2901,11430,212,14543,27295,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000241.pt,False,
benign_000204,0,2430,13674,289,16393,27269,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000204.pt,False,
benign_000645,0,3006,11023,247,14276,27176,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000645.pt,False,
benign_000744,0,1563,15718,104,17385,27050,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000744.pt,False,
benign_000415,0,2041,17383,134,19558,26927,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000415.pt,False,
benign_000011,0,3588,17035,401,21024,26904,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000011.pt,False,
benign_000956,0,4702,13388,72,18162,26763,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000956.pt,False,
benign_000262,0,2198,17697,133,20028,26723,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000262.pt,False,
benign_000664,0,4583,10924,253,15760,26701,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000664.pt,False,
benign_000592,0,3656,12929,198,16783,26581,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000592.pt,False,
benign_000708,0,2208,10464,175,12847,26442,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000708.pt,False,
benign_000352,0,8331,6591,226,15148,26429,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000352.pt,False,
benign_000327,0,2081,15245,152,17478,26429,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000327.pt,False,
benign_000696,0,2711,11165,193,14069,26359,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000696.pt,False,
benign_000317,0,4044,11356,940,16340,26326,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000317.pt,False,
benign_000785,0,7558,5790,210,13558,26246,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000785.pt,False,
benign_000006,0,3616,15043,265,18924,26181,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000006.pt,False,
benign_000669,0,4783,9754,176,14713,26099,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000669.pt,False,
benign_000641,0,6691,9156,175,16022,26028,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000641.pt,False,
benign_000016,0,3086,14443,405,17934,26020,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000016.pt,False,
benign_000114,0,2872,13443,189,16504,25964,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000114.pt,False,
benign_000010,0,4888,13030,318,18236,25936,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000010.pt,False,
benign_000408,0,2349,10188,1033,13570,25877,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000408.pt,False,
benign_000403,0,2170,16155,1106,19431,25844,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000403.pt,False,
