file_name,graph_label,total_nodes,total_edges,n_subject,n_fileobject,n_netflow,"E_('subject', 'events', 'fileobject')","E_('subject', 'events', 'netflow')","E_('subject', 'events', 'subject')","E_('fileobject', 'events', 'subject')","E_('netflow', 'events', 'subject')",window_id,start_ns,end_ns
ben__benign_000037.pt,0,28709,33975,5165,23161,383,25806,497,5869,1794,9,benign_000037,1557267465144546783,1557267645144546783
ben__benign_000038.pt,0,15591,20244,3409,11814,368,13751,460,4316,1693,24,benign_000038,1557268365144546788,1557268545144546788
ben__benign_000039.pt,0,18883,28033,3975,14518,390,20200,600,5281,1930,22,benign_000039,1557269265144546793,1557269445144546793
ben__benign_000040.pt,0,14905,23323,3807,10848,250,17148,381,4386,1380,28,benign_000040,1557270165144546798,1557270345144546798
ben__benign_000042.pt,0,12267,16974,2721,9277,269,11610,387,3336,1598,43,benign_000042,1557271965144546808,1557272145144546808
ben__benign_000043.pt,0,11718,15146,2401,9103,214,10513,289,2902,1364,78,benign_000043,1557272865144546813,1557273045144546813
ben__benign_000044.pt,0,24002,38694,7089,16639,274,20000,394,10569,7689,42,benign_000044,1557273765144546818,1557273945144546818
ben__benign_000045.pt,0,24048,29138,3753,19957,338,22072,435,4761,1853,17,benign_000045,1557274665144546823,1557274845144546823
ben__benign_000046.pt,0,11069,15300,2547,8366,156,10706,221,3006,1359,8,benign_000046,1557275565144546828,1557275745144546828
ben__benign_000047.pt,0,14676,23406,2905,11618,153,17891,228,3742,1537,8,benign_000047,1557276465144546833,1557276645144546833
ben__benign_000048.pt,0,14536,19824,3372,10831,333,12880,446,4498,1966,34,benign_000048,1557277365144546838,1557277545144546838
ben__benign_000049.pt,0,28967,35735,3837,24908,222,27746,338,5105,2509,37,benign_000049,1557278265144546843,1557278445144546843
ben__benign_000050.pt,0,12378,17483,2724,9456,198,12145,307,3482,1509,40,benign_000050,1557279165144546848,1557279345144546848
ben__benign_000051.pt,0,10029,14442,2365,7551,113,10405,156,2817,1058,6,benign_000051,1557280065144546853,1557280245144546853
ben__benign_000052.pt,0,11837,16463,2548,9140,149,11649,218,3098,1487,11,benign_000052,1557280965144546858,1557281145144546858
ben__benign_000053.pt,0,26641,30848,3155,23272,214,25432,299,3879,1235,3,benign_000053,1557281865144546863,1557282045144546863
ben__benign_000054.pt,0,9929,15018,2479,7275,175,10538,249,2960,1268,3,benign_000054,1557282765144546868,1557282945144546868
ben__benign_000055.pt,0,11393,14557,2473,8816,104,10488,143,2776,1145,5,benign_000055,1557283665144546873,1557283845144546873
ben__benign_000056.pt,0,11770,17619,2490,9148,132,13091,189,3095,1240,4,benign_000056,1557284565144546878,1557284745144546878
ben__benign_000057.pt,0,26123,32869,2942,22954,227,27186,332,3644,1101,606,benign_000057,1557285465144546883,1557285645144546883
ben__benign_000058.pt,0,13476,18908,3154,10085,237,12634,377,3878,1995,24,benign_000058,1557286365144546888,1557286545144546888
ben__benign_000059.pt,0,14894,21945,4326,10179,389,13109,512,5586,2673,65,benign_000059,1557287265144546893,1557287445144546893
ben__benign_000060.pt,0,10198,16200,1858,8180,160,11693,299,2631,1561,16,benign_000060,1557288165144546898,1557288345144546898
ben__benign_000061.pt,0,5265,7610,1332,3831,102,5241,144,1512,701,12,benign_000061,1557288885144546902,1557289065144546902
ben__benign_000063.pt,0,6050,7985,1940,4040,70,5162,100,1810,902,11,benign_000063,1557290685144546912,1557290865144546912
ben__benign_000064.pt,0,6324,8295,1367,4849,108,5669,152,1550,907,17,benign_000064,1557291585144546917,1557291765144546917
ben__benign_000065.pt,0,6621,9071,1669,4865,87,6249,129,1916,772,5,benign_000065,1557292485144546922,1557292665144546922
ben__benign_000066.pt,0,5929,7852,1253,4595,81,5617,106,1440,686,3,benign_000066,1557293385144546927,1557293565144546927
ben__benign_000067.pt,0,11885,19179,4423,7329,133,10099,206,6064,2776,34,benign_000067,1557294285144546932,1557294465144546932
ben__benign_000068.pt,0,5425,7932,1462,3876,87,5389,129,1722,681,11,benign_000068,1557295185144546937,1557295365144546937
ben__benign_000069.pt,0,5687,8205,1563,3974,150,5376,201,1932,681,15,benign_000069,1557296085144546942,1557296265144546942
ben__benign_000070.pt,0,10004,17083,2398,7451,155,12501,231,3489,852,10,benign_000070,1557296985144546947,1557297165144546947
ben__benign_000071.pt,0,12585,23448,5222,7162,201,10688,326,7838,4493,103,benign_000071,1557297885144546952,1557298065144546952
ben__benign_000072.pt,0,5889,7962,1230,4568,91,5611,135,1411,795,10,benign_000072,1557298785144546957,1557298965144546957
ben__benign_000073.pt,0,5551,7796,1294,4178,79,5403,113,1468,810,2,benign_000073,1557299685144546962,1557299865144546962
ben__benign_000074.pt,0,6366,8472,1473,4830,63,5915,91,1780,683,3,benign_000074,1557300585144546967,1557300765144546967
ben__benign_000075.pt,0,5340,7339,1122,4122,96,5234,136,1292,629,48,benign_000075,1557301485144546972,1557301665144546972
ben__benign_000077.pt,0,5707,7796,1219,4433,55,5532,72,1447,741,4,benign_000077,1557303285144546982,1557303465144546982
ben__benign_000078.pt,0,5498,7965,1273,4152,73,5675,112,1470,688,20,benign_000078,1557304185144546987,1557304365144546987
ben__benign_000079.pt,0,5595,7846,1269,4231,95,5337,148,1476,876,9,benign_000079,1557305085144546992,1557305265144546992
ben__benign_000080.pt,0,11392,16815,2100,9190,102,13535,165,2253,820,42,benign_000080,1557305985144546997,1557306165144546997
ben__benign_000081.pt,0,5641,8686,1642,3916,83,5342,116,2094,1128,6,benign_000081,1557306885144547002,1557307065144547002
ben__benign_000082.pt,0,4605,6660,1053,3478,74,4723,109,1197,623,8,benign_000082,1557307785144547007,1557307965144547007
ben__benign_000083.pt,0,6204,8667,1399,4705,100,6044,135,1682,802,4,benign_000083,1557308685144547012,1557308865144547012
ben__benign_000084.pt,0,6192,8380,1178,4941,73,6269,108,1371,632,0,benign_000084,1557309585144547017,1557309765144547017
ben__benign_000085.pt,0,5325,7213,1133,4114,78,5095,105,1316,693,4,benign_000085,1557310485144547022,1557310665144547022
ben__benign_000086.pt,0,7640,13954,1534,6026,80,10924,114,2275,641,0,benign_000086,1557311385144547027,1557311565144547027
ben__benign_000087.pt,0,5316,7666,1368,3856,92,5252,141,1713,556,4,benign_000087,1557312285144547032,1557312465144547032
ben__benign_000088.pt,0,5387,7218,1181,4092,114,5245,169,1238,549,17,benign_000088,1557313185144547037,1557313365144547037
ben__benign_000089.pt,0,8967,14095,1286,7590,91,11462,147,1601,880,5,benign_000089,1557314085144547042,1557314265144547042
ben__benign_000090.pt,0,6229,8593,1309,4826,94,6066,124,1645,755,3,benign_000090,1557314985144547047,1557315165144547047
ben__benign_000091.pt,0,11397,18618,2347,8819,231,13143,319,3574,1569,13,benign_000091,1557315705144547051,1557315885144547051
ben__benign_000092.pt,0,6340,9069,1395,4836,109,6323,160,1647,933,6,benign_000092,1557316605144547056,1557316785144547056
ben__benign_000093.pt,0,20865,32151,4053,16049,763,23529,1149,5047,2349,77,benign_000093,1557317505144547061,1557317685144547061
ben__benign_000094.pt,0,12595,24708,1756,8426,2413,14336,6489,2537,1339,7,benign_000094,1557318405144547066,1557318585144547066
ben__benign_000095.pt,0,20607,40337,2556,16183,1868,29241,4918,4052,2123,3,benign_000095,1557319305144547071,1557319485144547071
ben__benign_000096.pt,0,2987,4238,822,2129,36,2788,51,939,459,1,benign_000096,1557320205144547076,1557320385144547076
ben__benign_000097.pt,0,2479,3337,536,1857,86,2246,121,585,354,31,benign_000097,1557321105144547081,1557321285144547081
ben__benign_000098.pt,0,12278,19640,6819,5401,58,7935,100,9340,2248,17,benign_000098,1557322005144547086,1557322185144547086
ben__benign_000104.pt,0,10832,9913,2157,8554,121,6389,183,2055,1266,20,benign_000104,1557327405144547116,1557327585144547116
ben__benign_000105.pt,0,15482,17912,3239,11959,284,9957,431,4131,3301,92,benign_000105,1557328305144547121,1557328485144547121
ben__benign_000107.pt,0,26458,36637,4466,21246,746,24120,1080,6529,4882,26,benign_000107,1557330105144547131,1557330285144547131
ben__benign_000108.pt,0,19575,28021,3138,16118,319,20180,587,4861,2335,58,benign_000108,1557331005144547136,1557331185144547136
ben__benign_000109.pt,0,15921,20233,3299,11183,1439,12303,2031,3949,1942,8,benign_000109,1557331905144547141,1557332085144547141
ben__benign_000110.pt,0,16363,22342,3296,12702,365,15781,517,4136,1897,11,benign_000110,1557332805144547146,1557332985144547146
ben__benign_000111.pt,0,22068,32675,4354,16432,1282,21846,1907,5907,2990,25,benign_000111,1557333705144547151,1557333885144547151
ben__benign_000112.pt,0,25659,48005,9328,15929,402,22168,758,15658,9252,169,benign_000112,1557334605144547156,1557334785144547156
ben__benign_000113.pt,0,23408,40119,6535,16632,241,25567,402,10696,3431,23,benign_000113,1557335505144547161,1557335685144547161
ben__benign_000114.pt,0,16504,25964,2872,13443,189,19275,329,4229,2084,47,benign_000114,1557336405144547166,1557336585144547166
ben__benign_000115.pt,0,22625,36224,8059,14146,420,18718,675,12842,3844,145,benign_000115,1557337305144547171,1557337485144547171
ben__benign_000116.pt,0,11576,18086,2047,9387,142,13156,250,2889,1781,10,benign_000116,1557338205144547176,1557338385144547176
ben__benign_000117.pt,0,16972,24760,1967,14834,171,20394,302,2720,1069,275,benign_000117,1557339105144547181,1557339285144547181
ben__benign_000119.pt,0,9624,16097,3079,6388,157,8716,259,4463,2637,22,benign_000119,1557340905144547191,1557341085144547191
ben__benign_000120.pt,0,10383,16188,2587,7529,267,9672,374,3792,2253,97,benign_000120,1557341805144547196,1557341985144547196
ben__benign_000121.pt,0,13081,19391,2298,10667,116,14778,203,3142,1265,3,benign_000121,1557342705144547201,1557342885144547201
ben__benign_000122.pt,0,7753,10220,1694,5879,180,7469,294,1803,636,18,benign_000122,1557343425144547205,1557343605144547205
ben__benign_000123.pt,0,12284,21938,2121,10045,118,17179,230,3211,1314,4,benign_000123,1557344325144547210,1557344505144547210
ben__benign_000124.pt,0,7962,11736,2353,5500,109,7528,166,2797,1239,6,benign_000124,1557345225144547215,1557345405144547215
ben__benign_000125.pt,0,19158,33674,2731,16254,173,26422,347,4430,2435,40,benign_000125,1557346125144547220,1557346305144547220
ben__benign_000126.pt,0,7407,10959,1924,5300,183,7344,227,2473,910,5,benign_000126,1557347025144547225,1557347205144547225
ben__benign_000127.pt,0,5629,7907,1098,4475,56,5904,86,1313,604,0,benign_000127,1557347925144547230,1557348105144547230
ben__benign_000128.pt,0,6079,8327,1299,4676,104,5899,154,1524,727,23,benign_000128,1557348825144547235,1557349005144547235
ben__benign_000129.pt,0,6079,8344,1252,4737,90,5933,137,1519,750,5,benign_000129,1557349725144547240,1557349905144547240
ben__benign_000130.pt,0,6045,8457,1304,4633,108,5931,164,1540,814,8,benign_000130,1557350625144547245,1557350805144547245
ben__benign_000131.pt,0,5514,7915,1096,4324,94,5851,162,1276,617,9,benign_000131,1557351525144547250,1557351705144547250
ben__benign_000132.pt,0,6144,8681,1403,4628,113,6058,169,1679,751,24,benign_000132,1557352425144547255,1557352605144547255
ben__benign_000133.pt,0,6500,8853,1344,5056,100,6470,165,1583,611,24,benign_000133,1557353325144547260,1557353505144547260
ben__benign_000134.pt,0,5908,8491,1355,4408,145,5965,230,1572,719,5,benign_000134,1557354225144547265,1557354405144547265
ben__benign_000135.pt,0,5885,8067,1073,4742,70,6069,103,1256,632,7,benign_000135,1557355125144547270,1557355305144547270
ben__benign_000136.pt,0,5648,8195,1281,4258,109,5865,150,1537,636,7,benign_000136,1557356025144547275,1557356205144547275
ben__benign_000137.pt,0,5532,7743,1157,4319,56,5853,69,1334,484,3,benign_000137,1557356925144547280,1557357105144547280
ben__benign_000138.pt,0,6049,8579,1306,4659,84,6207,121,1545,696,10,benign_000138,1557357825144547285,1557358005144547285
ben__benign_000139.pt,0,5997,7830,1081,4835,81,5970,119,1198,534,9,benign_000139,1557358725144547290,1557358905144547290
ben__benign_000140.pt,0,6070,8057,1072,4927,71,6012,92,1243,709,1,benign_000140,1557359625144547295,1557359805144547295
ben__benign_000141.pt,0,5915,7944,1107,4713,95,5870,138,1296,635,5,benign_000141,1557360525144547300,1557360705144547300
ben__benign_000142.pt,0,5648,8289,1308,4258,82,5872,116,1521,769,11,benign_000142,1557361425144547305,1557361605144547305
ben__benign_000143.pt,0,5598,7808,1113,4422,63,5742,90,1302,671,3,benign_000143,1557362325144547310,1557362505144547310
ben__benign_000144.pt,0,5558,8133,1150,4332,76,5925,107,1337,760,4,benign_000144,1557363225144547315,1557363405144547315
ben__benign_000145.pt,0,5901,8365,1162,4670,69,6208,93,1369,691,4,benign_000145,1557364125144547320,1557364305144547320
ben__benign_000146.pt,0,5449,8160,1235,4146,68,5799,93,1486,778,4,benign_000146,1557365025144547325,1557365205144547325
ben__benign_000147.pt,0,5658,8369,1432,4166,60,5803,78,1723,755,10,benign_000147,1557365925144547330,1557366105144547330
ben__benign_000148.pt,0,5335,7809,1099,4154,82,5843,128,1314,517,7,benign_000148,1557366825144547335,1557367005144547335
ben__benign_000149.pt,0,5171,7667,1084,4028,59,5774,80,1279,533,1,benign_000149,1557367725144547340,1557367905144547340
ben__benign_000150.pt,0,5465,7732,1082,4322,61,5847,83,1271,530,1,benign_000150,1557368625144547345,1557368805144547345
ben__benign_000151.pt,0,5902,8021,1142,4680,80,5983,108,1294,628,8,benign_000151,1557369525144547350,1557369705144547350
ben__benign_000152.pt,0,6351,8086,1159,5105,87,6040,131,1311,600,4,benign_000152,1557370245144547354,1557370425144547354
ben__benign_000153.pt,0,5781,7916,1160,4548,73,5849,112,1336,614,5,benign_000153,1557371145144547359,1557371325144547359
ben__benign_000154.pt,0,21734,23295,2321,19267,146,18627,210,2747,1699,12,benign_000154,1557372045144547364,1557372225144547364
ben__benign_000155.pt,0,8222,11435,1756,6319,147,8021,190,2057,1153,14,benign_000155,1557372945144547369,1557373125144547369
ben__benign_000156.pt,0,7913,11204,1802,6009,102,8073,144,2132,850,5,benign_000156,1557373845144547374,1557374025144547374
ben__benign_000157.pt,0,8683,11433,1854,6718,111,8229,155,2120,921,8,benign_000157,1557374745144547379,1557374925144547379
ben__benign_000158.pt,0,20551,22505,2166,18248,137,18920,194,2477,910,4,benign_000158,1557375645144547384,1557375825144547384
ben__benign_000159.pt,0,7744,10959,1767,5871,106,7925,139,2077,814,4,benign_000159,1557376545144547389,1557376725144547389
ben__benign_000160.pt,0,8521,11070,1768,6637,116,7966,141,2041,917,5,benign_000160,1557377445144547394,1557377625144547394
ben__benign_000161.pt,0,8341,11870,1955,6277,109,8311,150,2297,1107,5,benign_000161,1557378345144547399,1557378525144547399
ben__benign_000162.pt,0,20041,23343,2585,17329,127,18790,169,3092,1288,4,benign_000162,1557379245144547404,1557379425144547404
ben__benign_000163.pt,0,8265,11387,1785,6391,89,7985,126,2117,1158,1,benign_000163,1557380145144547409,1557380325144547409
ben__benign_000164.pt,0,8375,11805,1867,6400,108,8099,160,2267,1271,8,benign_000164,1557381045144547414,1557381225144547414
ben__benign_000165.pt,0,8823,11998,1908,6759,156,8365,203,2182,1231,17,benign_000165,1557381945144547419,1557382125144547419
ben__benign_000166.pt,0,22717,25592,3378,19213,126,18799,160,3904,2696,33,benign_000166,1557382845144547424,1557383025144547424
ben__benign_000167.pt,0,7296,11017,1805,5395,96,7807,129,2150,920,11,benign_000167,1557383745144547429,1557383925144547429
ben__benign_000168.pt,0,8223,11248,1762,6387,74,8090,103,2095,960,0,benign_000168,1557384645144547434,1557384825144547434
ben__benign_000169.pt,0,7653,11687,1930,5624,99,8155,129,2316,1081,6,benign_000169,1557385545144547439,1557385725144547439
ben__benign_000170.pt,0,20875,23103,2456,18288,131,18883,150,2949,1099,22,benign_000170,1557386445144547444,1557386625144547444
ben__benign_000171.pt,0,8422,11604,1822,6492,108,8315,157,2139,989,4,benign_000171,1557387345144547449,1557387525144547449
ben__benign_000172.pt,0,8224,10984,1556,6545,123,8117,186,1768,886,27,benign_000172,1557388245144547454,1557388425144547454
ben__benign_000173.pt,0,7847,11412,1822,5920,105,8227,143,2065,975,2,benign_000173,1557389145144547459,1557389325144547459
ben__benign_000174.pt,0,18998,22865,2447,16390,161,18786,217,2913,945,4,benign_000174,1557390045144547464,1557390225144547464
ben__benign_000175.pt,0,7642,10837,1587,5929,126,7949,149,1780,951,8,benign_000175,1557390945144547469,1557391125144547469
ben__benign_000176.pt,0,8201,11019,1709,6405,87,8041,110,1965,895,8,benign_000176,1557391845144547474,1557392025144547474
ben__benign_000177.pt,0,8797,12263,2010,6667,120,8433,160,2409,1238,23,benign_000177,1557392745144547479,1557392925144547479
ben__benign_000178.pt,0,18422,22248,2208,16065,149,18675,197,2632,738,6,benign_000178,1557393645144547484,1557393825144547484
ben__benign_000179.pt,0,7067,10650,1637,5301,129,7797,182,1874,789,8,benign_000179,1557394545144547489,1557394725144547489
ben__benign_000180.pt,0,8243,11378,1705,6391,147,8019,196,2009,1142,12,benign_000180,1557395445144547494,1557395625144547494
ben__benign_000181.pt,0,8427,11538,1806,6520,101,8163,135,2099,1112,29,benign_000181,1557396345144547499,1557396525144547499
ben__benign_000182.pt,0,23387,23027,2538,20648,201,18952,250,2906,912,7,benign_000182,1557397065144547503,1557397245144547503
ben__benign_000183.pt,0,7342,10687,1719,5503,120,7658,180,2046,798,5,benign_000183,1557397965144547508,1557398145144547508
ben__benign_000184.pt,0,6727,10332,1724,4901,102,7118,133,2007,996,78,benign_000184,1557398865144547513,1557399045144547513
ben__benign_000185.pt,0,14587,16596,2302,12128,157,12872,226,2750,742,6,benign_000185,1557399765144547518,1557399945144547518
ben__benign_000186.pt,0,21791,23808,3169,18451,171,18586,224,3796,1194,8,benign_000186,1557400665144547523,1557400845144547523
ben__benign_000187.pt,0,7303,10002,1493,5680,130,7352,192,1722,729,7,benign_000187,1557401565144547528,1557401745144547528
ben__benign_000188.pt,0,7937,10697,1830,5993,114,7488,157,2040,1001,11,benign_000188,1557402465144547533,1557402645144547533
ben__benign_000189.pt,0,20838,31197,5171,15437,230,18177,370,7532,5056,62,benign_000189,1557403365144547538,1557403545144547538
ben__benign_000190.pt,0,29311,39146,5482,23617,212,29682,250,6725,2468,21,benign_000190,1557404265144547543,1557404445144547543
ben__benign_000191.pt,0,12045,19948,2126,9749,170,15476,196,2768,1435,73,benign_000191,1557405165144547548,1557405345144547548
ben__benign_000192.pt,0,27074,47536,9518,16873,683,27331,818,14702,4527,158,benign_000192,1557406065144547553,1557406245144547553
ben__benign_000196.pt,0,22943,40616,4731,17912,300,31010,448,6716,2317,125,benign_000196,1557409665144547573,1557409845144547573
ben__benign_000197.pt,0,13475,19267,2888,10109,478,13619,505,3534,1579,30,benign_000197,1557410940000000003,1557411120000000003
ben__benign_000199.pt,0,25179,45444,5301,19208,670,34811,780,7924,1914,15,benign_000199,1557412740000000013,1557412920000000013
ben__benign_000200.pt,0,19011,30127,5501,13278,232,19981,238,7570,2302,36,benign_000200,1557413640000000018,1557413820000000018
ben__benign_000201.pt,0,23516,44837,8370,14703,443,22830,728,13674,7395,210,benign_000201,1557414540000000023,1557414720000000023
ben__benign_000202.pt,0,26146,42894,6805,18797,544,31028,743,8958,2048,117,benign_000202,1557415440000000028,1557415620000000028
ben__benign_000203.pt,0,22006,37806,4853,16517,636,28703,694,6658,1685,66,benign_000203,1557416340000000033,1557416520000000033
ben__benign_000204.pt,0,16393,27269,2430,13674,289,22672,532,2931,1107,27,benign_000204,1557417240000000038,1557417420000000038
ben__benign_000205.pt,0,12997,20985,2302,10371,324,16875,269,2811,1022,8,benign_000205,1557418140000000043,1557418320000000043
ben__benign_000206.pt,0,11624,16691,2861,8520,243,12186,312,3020,1146,27,benign_000206,1557419040000000048,1557419220000000048
ben__benign_000207.pt,0,20399,34465,5188,14955,256,26505,366,5953,1609,32,benign_000207,1557419940000000053,1557420120000000053
ben__benign_000209.pt,0,18821,32453,5651,12778,392,22255,528,8143,1463,64,benign_000209,1557421740000000063,1557421920000000063
ben__benign_000210.pt,0,27070,45243,5527,20361,1182,33928,1088,7338,2801,88,benign_000210,1557422640000000068,1557422820000000068
ben__benign_000211.pt,0,12185,18861,2924,8825,436,12647,1160,3654,1362,38,benign_000211,1557423540000000073,1557423720000000073
ben__benign_000213.pt,0,15035,25519,3177,11686,172,20191,213,3614,1467,34,benign_000213,1557425160000000082,1557425340000000082
ben__benign_000214.pt,0,20672,25066,2503,17954,215,20880,285,3039,852,10,benign_000214,1557426060000000087,1557426240000000087
ben__benign_000215.pt,0,13060,21387,3995,8581,484,13501,607,5879,1391,9,benign_000215,1557426960000000092,1557427140000000092
ben__benign_000216.pt,0,10531,16405,2096,8271,164,12704,235,2606,855,5,benign_000216,1557427860000000097,1557428040000000097
ben__benign_000217.pt,0,19424,33132,3819,15437,168,27247,305,4177,1386,17,benign_000217,1557428760000000102,1557428940000000102
ben__benign_000218.pt,0,29419,37664,2257,26957,205,33453,323,2785,1095,8,benign_000218,1557429660000000107,1557429840000000107
ben__benign_000219.pt,0,9350,13804,2081,7103,166,10015,240,2537,1010,2,benign_000219,1557430560000000112,1557430740000000112
ben__benign_000220.pt,0,13321,20978,2262,10928,131,16829,202,2927,1015,5,benign_000220,1557431460000000117,1557431640000000117
ben__benign_000221.pt,0,26097,44244,7891,17834,372,30964,574,10341,2283,82,benign_000221,1557432360000000122,1557432540000000122
ben__benign_000223.pt,0,13882,22652,2606,11136,140,18212,195,3391,835,19,benign_000223,1557434160000000132,1557434340000000132
ben__benign_000224.pt,0,11706,18259,3242,8234,230,12530,343,4220,1124,42,benign_000224,1557435060000000137,1557435240000000137
ben__benign_000228.pt,0,8334,13003,2349,5859,126,9238,145,2908,699,13,benign_000228,1557438660000000157,1557438840000000157
ben__benign_000229.pt,0,6818,10025,1478,5254,86,7522,122,1709,668,4,benign_000229,1557439560000000162,1557439740000000162
ben__benign_000230.pt,0,19073,22774,2441,16484,148,19038,172,2823,715,26,benign_000230,1557440460000000167,1557440640000000167
ben__benign_000231.pt,0,15453,25784,3769,11497,187,19861,284,4309,1297,33,benign_000231,1557441360000000172,1557441540000000172
ben__benign_000232.pt,0,9225,16004,1720,7342,163,12952,271,2162,592,27,benign_000232,1557442260000000177,1557442440000000177
ben__benign_000233.pt,0,18955,29577,3294,15393,268,23469,378,4430,1288,12,benign_000233,1557443160000000182,1557443340000000182
ben__benign_000234.pt,0,17480,21876,1864,15480,136,18303,157,2209,1182,25,benign_000234,1557444060000000187,1557444240000000187
ben__benign_000235.pt,0,17784,30887,5741,11840,203,20234,328,7554,2745,26,benign_000235,1557444960000000192,1557445140000000192
ben__benign_000236.pt,0,24507,44119,5565,18733,209,35852,385,6044,1807,31,benign_000236,1557445860000000197,1557446040000000197
ben__benign_000237.pt,0,12572,24040,2157,10302,113,20245,159,2911,709,16,benign_000237,1557446760000000202,1557446940000000202
ben__benign_000238.pt,0,27924,42720,5727,21869,328,30680,514,8879,2604,43,benign_000238,1557447660000000207,1557447840000000207
ben__benign_000239.pt,0,14147,25418,4409,9573,165,17181,245,6634,1290,68,benign_000239,1557448560000000212,1557448740000000212
ben__benign_000240.pt,0,22680,40123,4180,18004,496,30415,645,6204,2785,74,benign_000240,1557449460000000217,1557449640000000217
ben__benign_000241.pt,0,14543,27295,2901,11430,212,21497,316,4297,1152,33,benign_000241,1557450360000000222,1557450540000000222
ben__benign_000242.pt,0,18529,22957,2822,15590,117,18677,147,3366,753,14,benign_000242,1557451260000000227,1557451440000000227
ben__benign_000243.pt,0,11289,20630,3170,8003,116,15030,164,4385,1023,28,benign_000243,1557451980000000231,1557452160000000231
